CrimeDateTime,RAPE,LARCENY,AGG. ASSAULT,LARCENY FROM AUTO,BURGLARY,COMMON ASSAULT,AUTO THEFT,ROBBERY,ROBBERY - COMMERCIAL,ARSON,ROBBERY - CARJACKING,HOMICIDE,SHOOTING
2011-01-01 00:00:00+00:00,5.0,39,28,27,21,41,15,5,2,1.0,,,
2011-01-02 00:00:00+00:00,2.0,20,6,20,19,14,5,10,1,0.0,,,
2011-01-03 00:00:00+00:00,1.0,19,13,16,21,15,7,9,1,0.0,,,
2011-01-04 00:00:00+00:00,1.0,29,11,12,12,29,10,4,0,0.0,,,
2011-01-05 00:00:00+00:00,0.0,30,9,14,28,26,10,6,2,0.0,,,
2011-01-06 00:00:00+00:00,1.0,24,9,24,17,18,3,5,2,1.0,,,
2011-01-07 00:00:00+00:00,1.0,24,16,23,24,28,8,18,3,1.0,,,
2011-01-08 00:00:00+00:00,1.0,20,11,12,14,28,6,5,3,0.0,1.0,,
2011-01-09 00:00:00+00:00,1.0,16,16,18,8,17,4,13,1,1.0,0.0,,
2011-01-10 00:00:00+00:00,0.0,21,10,17,14,20,15,8,2,1.0,0.0,,
2011-01-11 00:00:00+00:00,0.0,24,10,20,26,10,10,12,3,0.0,0.0,,
2011-01-12 00:00:00+00:00,2.0,21,6,6,14,18,7,2,0,0.0,0.0,,
2011-01-13 00:00:00+00:00,0.0,20,8,16,23,21,14,9,0,1.0,0.0,,
2011-01-14 00:00:00+00:00,0.0,23,10,18,21,14,15,8,2,1.0,0.0,,
2011-01-15 00:00:00+00:00,0.0,30,13,22,14,16,17,6,0,0.0,1.0,,
2011-01-16 00:00:00+00:00,1.0,11,10,16,20,20,4,6,3,0.0,0.0,,
2011-01-17 00:00:00+00:00,1.0,17,14,13,31,11,8,9,0,0.0,1.0,,
2011-01-18 00:00:00+00:00,0.0,16,9,27,24,16,7,3,1,0.0,1.0,,
2011-01-19 00:00:00+00:00,0.0,23,13,17,23,18,3,14,0,1.0,1.0,,
2011-01-20 00:00:00+00:00,0.0,26,18,10,29,21,12,15,2,1.0,1.0,,
2011-01-21 00:00:00+00:00,0.0,24,14,18,24,16,9,8,1,0.0,0.0,,
2011-01-22 00:00:00+00:00,2.0,13,21,26,20,16,5,12,4,1.0,0.0,,
2011-01-23 00:00:00+00:00,0.0,19,14,17,16,16,8,10,2,0.0,0.0,,
2011-01-24 00:00:00+00:00,0.0,17,9,19,24,11,8,16,0,2.0,0.0,,
2011-01-25 00:00:00+00:00,0.0,23,10,14,24,15,11,3,2,0.0,1.0,,
2011-01-26 00:00:00+00:00,0.0,14,10,12,15,13,6,7,2,0.0,0.0,,
2011-01-27 00:00:00+00:00,0.0,13,12,14,12,2,6,6,2,1.0,0.0,,
2011-01-28 00:00:00+00:00,1.0,21,10,18,26,25,11,9,3,0.0,0.0,,
2011-01-29 00:00:00+00:00,0.0,15,10,16,12,18,6,5,1,0.0,0.0,,
2011-01-30 00:00:00+00:00,3.0,12,12,17,15,21,5,5,1,0.0,0.0,,
2011-01-31 00:00:00+00:00,1.0,23,16,13,14,14,9,2,1,0.0,0.0,,
2011-02-01 00:00:00+00:00,0.0,29,13,13,16,19,9,7,0,0.0,0.0,,
2011-02-02 00:00:00+00:00,0.0,25,8,10,17,23,7,5,0,2.0,1.0,,
2011-02-03 00:00:00+00:00,0.0,29,4,10,24,15,3,8,0,1.0,1.0,,
2011-02-04 00:00:00+00:00,1.0,20,10,10,22,27,17,10,2,0.0,0.0,,
2011-02-05 00:00:00+00:00,0.0,18,18,16,16,16,9,5,1,0.0,0.0,,
2011-02-06 00:00:00+00:00,0.0,15,12,17,11,31,3,4,0,0.0,0.0,,
2011-02-07 00:00:00+00:00,0.0,22,7,16,23,22,11,5,0,0.0,1.0,,
2011-02-08 00:00:00+00:00,1.0,22,12,13,29,17,3,5,1,0.0,0.0,,
2011-02-09 00:00:00+00:00,1.0,25,8,13,17,17,6,6,2,0.0,0.0,,
2011-02-10 00:00:00+00:00,0.0,28,10,16,20,22,9,5,0,1.0,0.0,,
2011-02-11 00:00:00+00:00,0.0,24,8,16,27,22,6,10,0,0.0,1.0,,
2011-02-12 00:00:00+00:00,1.0,9,12,34,15,22,14,9,0,0.0,0.0,,
